"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 11:35:22 IST 2023","Fri Feb 17 11:35:51 IST 2023","29041","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.WebinarRegistration_Success","com.bridgelabz.ejet.webinartestcases.WebinarRegistration_Success","webinarUserRegistrationSuccess_AndRedirectOnAttendOrientationScreen","webinarUserRegistrationSuccess_AndRedirectOnAttendOrientationScreen",""
"passed","Fri Feb 17 11:28:48 IST 2023","Fri Feb 17 11:28:53 IST 2023","4865","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","enter_invalid_emailId","enter_invalid_emailId",""
"passed","Fri Feb 17 11:30:42 IST 2023","Fri Feb 17 11:30:49 IST 2023","7470","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","enter_valid_name","enter_valid_name",""
"passed","Fri Feb 17 11:35:10 IST 2023","Fri Feb 17 11:35:18 IST 2023","7731","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","not_select_passOut_Year","not_select_passOut_Year",""
"passed","Fri Feb 17 11:32:12 IST 2023","Fri Feb 17 11:32:17 IST 2023","5364","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","user_enter_numericChar_nameField","user_enter_numericChar_nameField",""
"passed","Tue Feb 14 22:29:21 IST 2023","Tue Feb 14 22:29:24 IST 2023","2880","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","valid_phn_no","valid_phn_no",""
"broken","Mon Feb 13 15:33:13 IST 2023","Mon Feb 13 15:33:13 IST 2023","1","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Webinar_Registration_Page_Test","com.bridgelabz.ejet.webinartestcases.Webinar_Registration_Page_Test","initialization","initialization",""
"broken","Tue Feb 14 22:37:46 IST 2023","Tue Feb 14 22:38:06 IST 2023","19326","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","removing_valid_value_from_emailField","removing_valid_value_from_emailField",""
"passed","Fri Feb 17 11:32:36 IST 2023","Fri Feb 17 11:32:42 IST 2023","5893","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","user_remove_invalidName_from_Field","user_remove_invalidName_from_Field",""
"broken","Thu Feb 16 12:09:20 IST 2023","Thu Feb 16 12:09:20 IST 2023","1","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","com.bridgelabz.ejet.webinartestcases.PassOut_Field_Test","tearDown","tearDown",""
"passed","Fri Feb 17 11:29:52 IST 2023","Fri Feb 17 11:29:57 IST 2023","4805","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","without_dotcom_enter_email","without_dotcom_enter_email",""
"passed","Fri Feb 17 11:31:18 IST 2023","Fri Feb 17 11:31:23 IST 2023","4624","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","enter_threeChar_nameField","enter_threeChar_nameField",""
"passed","Fri Feb 17 11:27:38 IST 2023","Fri Feb 17 11:27:47 IST 2023","9047","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","select_Masters_Non_Cs_Or_It","select_Masters_Non_Cs_Or_It",""
"passed","Tue Feb 14 22:28:48 IST 2023","Tue Feb 14 22:28:53 IST 2023","5642","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","invalid_phn_No_Starting_With_Plus_Ninty_One","invalid_phn_No_Starting_With_Plus_Ninty_One",""
"passed","Tue Feb 14 22:10:02 IST 2023","Tue Feb 14 22:10:08 IST 2023","5975","Default Suite","EJetTestScript","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","com.bridgelabz.ejet.webinartestcases.Phone_Number_Test","new_User_Enter_SpecialChar_PhField","new_User_Enter_SpecialChar_PhField",""
"passed","Fri Feb 17 11:29:22 IST 2023","Fri Feb 17 11:29:32 IST 2023","9572","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","com.bridgelabz.ejet.webinartestcases.Email_Field_Test","without_dot_enter_email","without_dot_enter_email",""
"passed","Fri Feb 17 11:31:51 IST 2023","Fri Feb 17 11:31:57 IST 2023","5948","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","com.bridgelabz.ejet.webinartestcases.FullName_Field_Test","inBetween_firstName_And_lastName_user_provide_doubleSpace_nameField","inBetween_firstName_And_lastName_user_provide_doubleSpace_nameField",""
"passed","Fri Feb 17 11:27:06 IST 2023","Fri Feb 17 11:27:14 IST 2023","8037","All Test Suite","C:/Users/dell/Documents/QADevPrograms/EJetTestScript","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","com.bridgelabz.ejet.webinartestcases.Education_Qualification_Test","select_Engineering_Non_Cs_Or_It","select_Engineering_Non_Cs_Or_It",""
